,no,catch_copy,name
0,1,中国武術世界大会1位,横井寛典
1,2,ウエイトリフティング元日本代表,鳥澤克秀
2,3,マスターズ跳躍五種 日本記録保持者,若井薫浩
3,4,ヒロミ・松本伊代の息子,小園凌央
4,5,プロボディビルダー,横川尚隆
5,6,人力車夫,石橋拓也
6,7,パナソニックラグビー部,小西大樹
7,8,医者,森光
8,9,サーファー,大川慶吾
9,10,アテネ五輪 サッカー日本代表,那須大亮
10,11,CYBERJAPAN DANCERS,KAREN
11,12,ティモンディ,高岸宏行
12,13,ティモンディ,前田裕太
13,14,アクション俳優,才川コージ
14,15,電撃ネットワーク,今日元気
15,16,バンダイSASUKE部,本間隆史
16,17,書道家芸人 元ファイナリスト,おさる
17,18,7人制ラグビー元日本代表,鶴ケ崎好昭
18,19,川崎市立南河原小 1年3組担任,佐久間光太
19,20,＝LOVE,瀧脇笙古
20,21,2014ミス・スプラナショナル日本代表,若尾綾香
21,22,再生医療関係会社 社長,裙本理人
22,23,舞台俳優,平松來馬
23,24,俳優,菅原健
24,25,元中京大学陸上部,河野凌太
25,26,学校給食調理師,菅野一喜
26,27,プロフィギュアスケーター,小林宏一
27,28,元プロ野球選手,矢地健人
28,29,元K-1選手,原田ヨシキ
29,30,林野庁職員,後藤祐輔
30,31,イチロー？,ニッチロー´
31,32,テコンドー全国優勝,那珂村神
32,33,元国見高校サッカー部キャプテン,山本章博
33,34,2018 Mr.JAPAN,滝村剛
34,35,「東大王」メンバー,砂川信哉
35,36,松田水道 経営,松田大介
36,37,厚木市立藤塚中学校 体育教師,鈴木祐輔
37,38,週刊プレイボーイ 編集部,石橋太朗
38,39,モデル,喜内優心
39,40,吉本坂46,梶原颯
40,41,SUPER FANTASY,HAKU
41,42,トランポリン インカレ優勝,武藤智広
42,43,催眠術師,Dai
43,44,YouTubeクリエイター「TWINS」,コウ
44,45,テレビユー福島 アナウンサー,杉浦祐治
45,46,八村塁？,澤井一希
46,47,ジャッキーチェン？,ジャッキーちゃん
47,48,モノマネ芸人,JP
48,49,山田軍団【黒虎】,山本良幸
49,50,山田軍団【黒虎】,伊佐嘉矩
50,51,アッコ軍団 元なでしこジャパン,丸山桂里奈
51,52,アッコ軍団 サッカー元日本代表,武田修宏
52,53,アッコ軍団 俳優,髙橋颯
53,54,アッコ軍団 ラグビー元日本代表,伊藤剛臣
54,55,アッコ軍団 元プロ野球選手,荒波翔
55,56,国際派俳優,高野海琉
56,57,キタガワ電気 店長,日置将士
57,58,霜降り明星,粗品
58,59,霜降り明星,せいや
59,60,第11代 体操のお兄さん,小林よしひさ
60,61,カミナリ,石田たくみ
61,62,フィットネスグラビアタレント,とももともも
62,63,北海道放送アナウンサー,日下怜奈
63,64,世界体操祭出場,渡邊麻衣
64,65,2017ベストアクション女優賞,宮原華音
65,66,競輪選手,鈴木輝大
66,67,和楽器バンド,山葵
67,68,茨城県庁職員,高須賢弥
68,69,タクシードライバー,平山大
69,70,トランポリンパフォーマー,長崎峻侑
70,71,配管工,又地諒
71,72,ビルメンテナンス業,菅野仁志
72,73,炎の体育会TV ジャニーズJr.,鈴木舜映
73,74,炎の体育会TV ジャニーズJr.,菅田琳寧
74,75,炎の体育会TV オードリー,春日俊彰
75,76,エアリアルパフォーマー,岡戸日向葵
76,77,総合格闘家,浅倉カンナ
77,78,信用金庫職員,大嶋あやの
78,79,アクロバット教室,新島卓矢
79,80,2006サッカーW杯日本代表,坪井慶介
80,81,体操元日本代表,丁子大樹
81,82,カーデザイナー,荒木直之
82,83,THE RAMPAGE from EXILE TRIBE,陣
83,84,THE RAMPAGE from EXILE TRIBE,浦川翔平
84,85,THE RAMPAGE from EXILE TRIBE,武知海青
85,86,SASUKE唯一の皆勤賞,山本進悟
86,87,SASUKEオールスターズ,竹田敏浩
87,88,Snow Man,岩本照
88,89,A.B.C-Z,塚田僚一
89,90,栄光ゼミナール 講師,山本桂太朗
90,91,RISE ライト級王者,白鳥大珠
91,92,7人制ラグビー日本代表候補,藤田慶和
92,93,ゴールデンボンバー ドラム,樽美酒研二
93,94,パルクール指導員,佐藤惇
94,95,山形県庁職員,多田竜也
95,96,クライミングシューズメーカー 取締役,川口朋広
96,97,ミスターSASUKE,山田勝己
97,98,史上最強の漁師,長野誠
98,99,靴のハルタ 営業,漆原裕治
99,100,完全制覇のサスケくん,森本裕介
