tournament,no,name,age,height,weight,profession,title,result
37,1,LAGI Nakaya ,29,,,ダンサー,,0
37,2,Nishino Miki ,20,,,アイドル,,0
37,3,Torisawa Katsuhide ,47,162,85,職員,,0
37,4,Monkki ,51,,,書道家,,0
37,5,Yamada Kota ,12,,,中学生,,0
37,6,Kumegawa Yuya ,26,,,漁師,,0
37,7,Matsushita,26,,,タレント,,0
37,9,Arakawa Haruna ,20,,,アスリート,,0
37,10,Mori Wataru ,36,172,60,タレント,,0
37,11,Hashimura Wataru ,25,,,会社員,,0
37,12,Natsuaki Kamil ,21,,,モデル,,0
37,13,TOSHIKI ,34,,,アーティスト,,0
37,14,Jibiki Yasushi ,38,,,航空救難団,,0
37,15,Mishima Ryuhei ,36,,,職人,,0
37,16,Kirayama Hitomi ,49,,,議員,,0
37,17,Honma Takashi ,50,,,バンダイ　SASUKE部,,0
37,18,Yagishita Sora ,25,,,バンダイ　SASUKE部,,0
37,19,Fujishima Kota ,24,,,ダンサー,,0
37,20,Katagiri Jō ,31,,,職人,,0
37,21,Sakuma Kota ,27,,,教員,,0
37,22,Iwamoto Ako ,26,,,アスリート,,0
37,23,Nakamura Mao ,23,,,ホステス,,0
37,24,Hosoi Toshiyuki ,53,,,,,0
37,25,Uemura Yuki ,26,,,トレーナー,,0
37,26,Kishimoto Kunihide ,25,,,アスリート,,0
37,27,Ikeno Yoshihiro ,24,,,神主,,
37,28,Imanishi Satoshi ,34,,,教員,,0
37,29,Omi Yuto ,24,,,会社員,,0
37,30,Ito Kosei ,25,,,アスリート,,0
37,31,Ishibashi Taro ,31,,,編集者,,0
37,32,Matsuda Daisuke ,44,,,職人,,0
37,33,KAREN ,23,,,ダンサー,,0
37,35,Iwaki Yuta ,27,,,俳優,,0
37,36,Takahira Tamotsu ,27,,,職人,,0
37,37,Saito Shinya ,27,,,職員,,0
37,38,Matsumura Ryo ,24,,,教員,,0
37,39,Takahito Sakurai ,26,,,会社員,,0
37,40,Tanaka Daisuke ,25,,,大学生,,0
37,41,Aoki Satoshi ,25,,,職人,,0
37,42,Battur ,25,,,,foreign,0
37,43,Ashlin Herbert ,25,,,,foreign,0
37,44,Jackie Wong ,43,,,,foreign,0
37,45,Jackie Chang ,45,,,芸人,,0
37,47,Yamamoto Yoshiyuki ,27,,,,黒虎,2
37,48,Isa Yoshinori ,26,,,,黒虎,2
37,49,Tada Tatsuya ,27,166.5,63,職員,森本世代,3
37,50,Sunagawa Shinya ,24,,,大学生,,0
37,51,Tosaka Junichi ,48,,,会社員,,0
37,52,Inoue Sakura ,20,,,タレント,,0
37,53,Takahashi Fu ,21,,,俳優,,0
37,54,Restrepo ,26,,,タレント,,0
37,55,Saikawa Kōji ,24,,,俳優,,1
37,56,Miyashita Junichi ,36,,,アスリート,,0
37,57,Araki Naoyuki ,26,,,デザイナー,森本世代,0
37,58,Kato Reo ,24,,,モデル,,0
37,59,Okada Yoshifumi ,35,,,アスリート,,0
37,60,Hioki Masashi ,38,168,60,会社員,SASUKE新世代,2
37,61,Iketani Naoki ,46,168,58,アスリート,,0
37,62,Akiyama Koki ,29,,,職人,,0
37,63,Hide Maeda ,34,,,アーティスト,,0
37,64,Sho Okubo ,30,,,自衛官,,0
37,65,Kikuchi Satoshi ,20,,,消防士,,0
37,66,Sakai Yuichiro ,28,,,アスリート,,0
37,67,Takano Kairu ,20,,,俳優,,0
37,68,Kanno Kazuki ,32,,,調理師,,0
37,69,Minato Sou ,32,,,漁師,,0
37,70,Shintani Kazumasa ,31,,,会社員,,0
